Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Brown, IL,79.7,19.4,0.2
Bureau, IL,97.4,0.8,0.7
Calhoun, IL,98.9,0.1,0.2
Carroll, IL,97.1,1,0.5
Cass, IL,97,1.7,0.3
Champaign, IL,78,12,7.7
Christian, IL,95.6,2.7,0.8
Clark, IL,98.2,0.6,0.2
Clay, IL,97.6,0.6,0.9
Clinton, IL,94.4,4.2,0.4
Coles, IL,94.3,3.3,1
Cook, IL,66.7,25.5,5.9
Crawford, IL,93.4,5.1,0.4
Cumberland, IL,98.4,0.6,0.2
DeKalb, IL,89.3,6.4,2.7
De Witt, IL,97.3,1.1,0.5
Douglas, IL,97.5,0.9,0.6
DuPage, IL,83.5,4.8,10.1
Edgar, IL,96.7,2.1,0.4
Edwards, IL,98.7,0.2,0.4
Effingham, IL,98.3,0.5,0.4
Fayette, IL,95.2,3.8,0.2
Ford, IL,97.5,1,0.6
Franklin, IL,97.9,0.8,0.3
Fulton, IL,94.7,4,0.3
Gallatin, IL,97.9,0.5,0.1
Greene, IL,98.1,0.6,0.1
Grundy, IL,96,2.2,0.8
Hamilton, IL,97.8,1.1,0.2
Hancock, IL,98.1,0.7,0.3
Hardin, IL,95.6,2.9,0.5
Henderson, IL,98.3,0.4,0.1
Henry, IL,96.8,1.6,0.4
Iroquois, IL,97,1.3,0.5
Jackson, IL,80.5,13.6,3.5
Jasper, IL,98.9,0.4,0.2
Jefferson, IL,89,8.8,0.6
Jersey, IL,97.5,1.2,0.3
Jo Daviess, IL,98.1,0.7,0.2
Johnson, IL,82.9,15.9,0.1
Kane, IL,89.3,5.7,3.3
Kankakee, IL,82.5,15,0.9
Kendall, IL,89.6,6.2,2.8
Knox, IL,89.9,7.3,0.9
Lake, IL,85,7.1,6
LaSalle, IL,96.2,1.8,0.8
Lawrence, IL,89.9,9,0.2
Lee, IL,93.6,4.4,0.9
Livingston, IL,93.1,5.3,0.4
Logan, IL,90.9,7.3,0.8
McDonough, IL,90.7,5,3
McHenry, IL,94.8,1.3,2.7
McLean, IL,87.8,7.4,3.1
Macon, IL,81.9,15,1
Macoupin, IL,97.5,1.1,0.3
Madison, IL,89.3,8.4,0.7
Marion, IL,93.6,3.9,0.7
Marshall, IL,97.6,1.1,0.3
Mason, IL,98.1,0.5,0.3
Massac, IL,91.8,6.2,0.3
Menard, IL,98,1.1,0.2
Mercer, IL,98,0.8,0.3
Monroe, IL,98,0.9,0.4
Montgomery, IL,94.6,4.2,0.3
Morgan, IL,92.1,5.7,0.7
Moultrie, IL,98,0.8,0.3
Ogle, IL,97.1,1.3,0.5
Peoria, IL,77.7,17.4,2.7
Perry, IL,89.6,8.7,0.3
Piatt, IL,97.7,1,0.4
Pike, IL,97.2,1.6,0.3
Pope, IL,92.6,4.5,0.3
Pulaski, IL,67,30.3,1.1
Putnam, IL,97.9,0.8,0.3
Randolph, IL,89.1,9.4,0.3
Richland, IL,97.6,0.7,0.6
Rock Island, IL,87.7,8.2,2
