Areaname,,"Resident population: White alone, percent (July 1 - estimate) 2009","Resident population: Black alone, percent (July 1 - estimate) 2009","Resident population: Asian alone, percent (July 1 - estimate) 2009"
Beaver, UT,95.9,0.3,0.7
Box Elder, UT,96.2,0.4,1
Cache, UT,95.1,0.8,2.1
Carbon, UT,96.1,0.6,0.6
Daggett, UT,96.6,1.1,0.1
Davis, UT,93.8,1.5,1.8
Duchesne, UT,92,0.3,0.2
Emery, UT,96.9,0.3,0.4
Garfield, UT,95.7,0.2,0.4
Grand, UT,92.8,0.3,0.2
Iron, UT,93.5,0.8,1.4
Juab, UT,97.5,0.2,0.3
Kane, UT,96.4,0.2,0.2
Millard, UT,96.2,0.3,0.6
Morgan, UT,98.3,0,0.2
Piute, UT,97.5,0.1,0.2
Rich, UT,99,0,0.4
Salt Lake, UT,90.3,2,3.2
San Juan, UT,41.5,1.5,0.6
Sanpete, UT,95.2,0.6,0.9
Sevier, UT,95.9,0.4,0.3
Summit, UT,96.4,0.6,1.5
Tooele, UT,93.7,1.6,1
Uintah, UT,88,0.7,0.4
Utah, UT,94.7,0.8,1.5
Wasatch, UT,95.8,0.4,0.8
Washington, UT,94.9,0.7,0.9
Wayne, UT,98.2,0.2,0.1
Weber, UT,94.1,1.7,1.4
VERMONT,,96.2,1,1.2
Addison, VT,96.7,0.7,0.9
Bennington, VT,97.1,0.8,1
Caledonia, VT,97.3,0.5,0.5
Chittenden, VT,93.9,1.9,2.6
Essex, VT,96.7,0.3,0.3
Franklin, VT,96.2,0.6,0.4
Grand Isle, VT,97.4,0.2,0.4
Lamoille, VT,97,0.6,0.6
Orange, VT,97.7,0.5,0.5
Orleans, VT,97.2,0.5,0.4
Rutland, VT,97.7,0.7,0.6
Washington, VT,96.9,0.7,0.8
Windham, VT,96.5,0.9,1
Windsor, VT,97.1,0.7,1
VIRGINIA,,72.8,20,5
Accomack, VA,70,28.3,0.3
Albemarle, VA,83.7,9.8,5
Alleghany, VA,92.7,5.6,0.4
Amelia, VA,75.4,23.3,0.3
Amherst, VA,78.5,19.2,0.4
Appomattox, VA,77,21.7,0.2
Arlington, VA,80.6,8.4,8.6
Augusta, VA,93.9,4.7,0.4
Bath, VA,90.7,7.7,0.4
Bedford, VA,91.2,6.8,0.8
Bland, VA,94.3,4.6,0.5
Botetourt, VA,93.5,4.8,0.8
Brunswick, VA,42.8,56.1,0.3
Buchanan, VA,95.8,3.4,0.3
Buckingham, VA,61.9,36.5,0.2
Campbell, VA,82.9,14.8,0.9
Caroline, VA,68.8,28,0.9
Carroll, VA,98.1,1,0.1
Charles City, VA,46.1,44.4,0.1
Charlotte, VA,68.2,30.6,0.2
Chesterfield, VA,72.5,22.2,3.3
Clarke, VA,91.8,6.2,0.9
Craig, VA,98.6,0.6,0.2
Culpeper, VA,79.6,16.8,1.7
Cumberland, VA,63.9,34,0.6
Dickenson, VA,97.8,1.4,0.1
Dinwiddie, VA,66,32.1,0.6
Essex, VA,58.3,38.4,1.1
Fairfax, VA,70.9,9.7,16.5
Fauquier, VA,87.3,9.1,1.6
Floyd, VA,96.7,2.3,0.1
Fluvanna, VA,80.8,17.2,0.5
Franklin, VA,89.6,8.9,0.4
Frederick, VA,92.5,4.7,1.3
Giles, VA,97.2,1.9,0.2
Gloucester, VA,87,9.9,0.7
Goochland, VA,76.8,21.2,1.1
Grayson, VA,96.4,2.5,0.1
Greene, VA,90.6,6.9,0.9
Greensville, VA,38.5,60.5,0.4
Halifax, VA,61.9,36.6,0.4
Hanover, VA,87.2,10.1,1.3
Henrico, VA,64.6,28.1,5.4
Henry, VA,76.1,22,0.6
Highland, VA,99,0.3,0.1
Isle of Wight, VA,73.2,24.7,0.7
James City, VA,82.3,13.9,2.1
King and Queen, VA,66.2,30.4,0.3
King George, VA,77.4,18.9,1.3
King William, VA,78.3,18.7,0.4
Lancaster, VA,71.5,27.1,0.5
Lee, VA,93.4,5.4,0.3
Loudoun, VA,75.8,8.3,13.1
Louisa, VA,79.6,18.5,0.4
Lunenburg, VA,61.7,36.5,0.2
Madison, VA,87.1,11.1,0.6
Mathews, VA,87.8,10.9,0.2
Mecklenburg, VA,61.2,37.1,0.6
Middlesex, VA,80.4,18.6,0.1
Montgomery, VA,89.3,4.4,4.4
Nelson, VA,84.8,13.2,0.2
New Kent, VA,82.3,14.7,0.6
Northampton, VA,60.5,38.3,0.2
Northumberland, VA,73.6,25.2,0.4
Nottoway, VA,59.7,38.9,0.4
Orange, VA,84,13.8,0.7
Page, VA,96.1,2.5,0.3
Patrick, VA,92.6,6,0.3
Pittsylvania, VA,75.4,23.4,0.3
Powhatan, VA,84.2,14.6,0.3
Prince Edward, VA,64.1,33.7,0.8
Prince George, VA,60.2,35.1,2.1
Prince William, VA,68.3,20.8,7.4
Pulaski, VA,92.1,6.2,0.4
Rappahannock, VA,92.2,5.8,0.2
Richmond, VA,65.7,32.8,0.5
Roanoke, VA,90.6,5.8,2.4
Rockbridge, VA,94.4,3.8,0.5
Rockingham, VA,96.6,2.1,0.5
Russell, VA,98.2,1.1,0.1
Scott, VA,97,2.2,0.1
Shenandoah, VA,96.2,2.1,0.6
Smyth, VA,96.6,2.2,0.2
Southampton, VA,58.4,40.6,0.2
Spotsylvania, VA,79.4,15.8,2.3
Stafford, VA,76.6,17.4,2.8
Surry, VA,52.3,46.2,0.2
Sussex, VA,40.8,57.9,0.3
Tazewell, VA,94.7,3.6,0.8
Warren, VA,91.9,5.4,0.8
Washington, VA,97.1,1.7,0.4
Westmoreland, VA,69.6,28.5,0.5
Wise, VA,92.9,5.6,0.5
Wythe, VA,95.4,3.2,0.5
York, VA,79,14.1,4.3
Alexandria, VA,69.6,22.4,5.8
Bedford, VA,77.4,19.8,0.9
Bristol, VA,91.8,6,0.5
Buena Vista, VA,92.5,5.7,0.5
Charlottesville, VA,73,20.5,4.2
Chesapeake, VA,65,30.2,2.5
Clifton Forge, VA,0,0,0
Colonial Heights, VA,82.7,12.9,2.8
Covington, VA,82.1,14.8,1
Danville, VA,52.1,45.7,1
Emporia, VA,41.2,57.4,0.7
Fairfax, VA,73.8,7.1,16.2
Falls Church, VA,83.6,5.2,8.3
Franklin, VA,44.6,53.3,1
Fredericksburg, VA,73.9,21.2,2.1
Galax, VA,90.7,6.9,0.8
Hampton, VA,47.1,47.8,2.1
Harrisonburg, VA,86.4,6.9,3.9
Hopewell, VA,57.9,38.6,1
Lexington, VA,86.6,9.4,2.5
Lynchburg, VA,68,28.1,2
Manassas, VA,79.4,13.6,4.3
Manassas Park, VA,77.8,12.6,6.7
Martinsville, VA,56.4,41.7,0.6
Newport News, VA,52,42.2,2.6
Norfolk, VA,49.1,44.5,3.1
Norton, VA,88.6,8.5,1.6
Petersburg, VA,19.5,77.8,1.2
Poquoson, VA,93.3,3.2,2.1
Portsmouth, VA,43.7,53,0.9
Radford, VA,86.8,8.5,2.8
Richmond, VA,44.5,51.8,1.6
Roanoke, VA,69.8,26.9,1.3
Salem, VA,90.7,7,1.2
South Boston, VA,0,0,0
Staunton, VA,85.7,11.6,0.6
Suffolk, VA,55.3,41.5,1.5
Virginia Beach, VA,70.6,20.1,5.7
Waynesboro, VA,86.1,11,0.8
Williamsburg, VA,79.8,13.1,4.9
Winchester, VA,85.1,10.7,1.9
WASHINGTON,,83.8,3.9,7
Adams, WA,92.8,1.2,1.3
Asotin, WA,95.6,0.4,0.6
Benton, WA,92.8,1.5,2.5
Chelan, WA,95.4,0.7,1.1
Clallam, WA,89.8,0.9,1.5
Clark, WA,89.7,2.2,4
Columbia, WA,95.6,0.5,0.7
Cowlitz, WA,93.4,0.9,1.5
Douglas, WA,94.4,1,1
Ferry, WA,78.5,0.2,0.3
Franklin, WA,92.6,2.7,2
Garfield, WA,97.2,0,0.8
Grant, WA,94.3,1.3,1.2
Grays Harbor, WA,89.6,0.6,1.6
Island, WA,89.7,1.9,4.3
Jefferson, WA,92.7,0.8,1.6
King, WA,74.5,6.5,14
Kitsap, WA,85.6,2.8,4.8
Kittitas, WA,92.3,1.1,3
Klickitat, WA,92.8,0.4,0.8
Lewis, WA,94.9,0.7,0.8
Lincoln, WA,95,0.3,0.3
Mason, WA,90,1.5,1.4
Okanogan, WA,84.8,0.7,0.8
Pacific, WA,92,0.4,2.2
Pend Oreille, WA,93.2,0.5,0.7
Pierce, WA,79.3,7.5,5.9
San Juan, WA,95.8,0.3,1.2
Skagit, WA,92.8,0.8,2.2
Skamania, WA,94.4,0.3,0.6
Snohomish, WA,83.8,2.6,8.5
Spokane, WA,91.4,1.9,2.2
Stevens, WA,90.2,0.5,0.6
Thurston, WA,85.9,3.2,5.1
Wahkiakum, WA,94.6,0.3,0.4
Walla Walla, WA,93.5,1.9,1.5
Whatcom, WA,89.6,1.1,3.8
Whitman, WA,86.5,2.5,7
Yakima, WA,89.4,1.7,1.5
WEST VIRGINIA,,94.4,3.7,0.7
Barbour, WV,96.9,0.8,0.4
Berkeley, WV,90.6,7.1,0.8
Boone, WV,98.1,0.9,0.2
Braxton, WV,97.7,0.8,0.1
Brooke, WV,97.2,1.3,0.5
Cabell, WV,92.5,4.9,1
Calhoun, WV,98.9,0.1,0.1
Clay, WV,98,0.2,0
Doddridge, WV,98.3,0.3,0.2
Fayette, WV,93,5,0.5
Gilmer, WV,96.7,1.1,0.8
Grant, WV,98.2,0.9,0.2
Greenbrier, WV,95.1,3,0.2
Hampshire, WV,97.4,1.4,0.2
Hancock, WV,95.8,2.7,0.4
Hardy, WV,96.8,2.1,0.1
Harrison, WV,96.2,1.9,0.8
Jackson, WV,98.3,0.4,0.4
Jefferson, WV,90.2,7.1,0.9
Kanawha, WV,88.9,8,1.2
Lewis, WV,98.3,0.3,0.3
Lincoln, WV,98.7,0.3,0.1
Logan, WV,96.1,2.7,0.3
McDowell, WV,87.8,10.9,0.1
Marion, WV,94.7,3.5,0.5
Marshall, WV,98.1,0.7,0.3
Mason, WV,98,0.7,0.3
Mercer, WV,92.2,6,0.6
Mineral, WV,95.7,2.9,0.3
Mingo, WV,96,2.5,0.3
Monongalia, WV,92.3,3.9,2.3
Monroe, WV,97.6,1.1,0.1
Morgan, WV,98,1,0.1
Nicholas, WV,98.3,0.5,0.2
Ohio, WV,93.7,3.9,1.1
Pendleton, WV,95.5,2.9,0.2
Pleasants, WV,97.5,1,0.4
Pocahontas, WV,97.9,1.1,0.2
Preston, WV,98.6,0.5,0.2
Putnam, WV,97.4,1.1,0.7
Raleigh, WV,89.8,8.3,0.7
Randolph, WV,97.5,1.3,0.5
Ritchie, WV,98.3,0.4,0.2
Roane, WV,98.2,0.4,0.4
Summers, WV,90.2,8.3,0.2
Taylor, WV,97.7,1.1,0.2
Tucker, WV,98.8,0.1,0
Tyler, WV,99,0.1,0.1
Upshur, WV,97.7,0.9,0.6
Wayne, WV,98.4,0.4,0.3
Webster, WV,98.9,0,0.3
Wetzel, WV,98.4,0.3,0.5
Wirt, WV,98.6,0.4,0.1
Wood, WV,96.6,1.5,0.7
Wyoming, WV,98.1,1,0.1
WISCONSIN,,89.4,6.2,2.2
Adams, WI,93.9,3.2,0.4
Ashland, WI,85.5,0.6,0.6
Barron, WI,97.3,0.4,0.5
Bayfield, WI,87.5,0.3,0.4
Brown, WI,91.6,1.9,2.5
Buffalo, WI,98.3,0.3,0.4
Burnett, WI,92.5,0.5,0.3
Calumet, WI,95.8,0.7,2.1
Chippewa, WI,97.4,0.4,0.9
Clark, WI,98,0.4,0.4
Columbia, WI,96.9,1.2,0.5
Crawford, WI,96.4,2.2,0.3
Dane, WI,88.5,4.7,4.6
Dodge, WI,95.4,3,0.4
Door, WI,97.7,0.4,0.4
Douglas, WI,94.7,0.7,0.9
Dunn, WI,95.7,0.5,2.3
Eau Claire, WI,94.3,0.8,2.8
Florence, WI,97.9,0.3,0.3
Fond du Lac, WI,96.2,1.4,1
Forest, WI,84.2,1.5,0.2
Grant, WI,97.2,1.1,0.8
Green, WI,97.8,0.6,0.4
Green Lake, WI,98,0.5,0.5
Iowa, WI,98.1,0.5,0.5
Iron, WI,97.6,0.2,0.2
Jackson, WI,89.9,2.5,0.2
Jefferson, WI,97.4,0.7,0.5
Juneau, WI,94.3,2.6,0.5
Kenosha, WI,90.3,6.1,1.5
Kewaunee, WI,98.3,0.4,0.2
La Crosse, WI,93.5,1.3,3.5
Lafayette, WI,98.6,0.4,0.2
Langlade, WI,97.3,0.4,0.3
Lincoln, WI,97.3,0.6,0.6
Manitowoc, WI,95.5,0.7,2.4
Marathon, WI,92.9,0.6,5.1
Marinette, WI,97.6,0.4,0.4
Marquette, WI,97.5,0.7,0.3
Menominee, WI,16,1.8,0.4
Milwaukee, WI,68.3,25.7,3.2
Monroe, WI,96.4,0.9,0.5
Oconto, WI,97.2,0.5,0.3
Oneida, WI,97.3,0.6,0.4
Outagamie, WI,93.8,0.9,2.6
Ozaukee, WI,95.7,1.6,1.5
Pepin, WI,98.6,0.2,0.2
Pierce, WI,97.4,0.5,0.8
Polk, WI,97.2,0.4,0.3
Portage, WI,95.3,0.6,2.6
Price, WI,97.8,0.2,0.4
Racine, WI,86.3,10.7,0.9
Richland, WI,98,0.5,0.3
Rock, WI,92.5,4.5,1.1
Rusk, WI,97.7,0.5,0.3
St. Croix, WI,96.8,0.7,1.3
Sauk, WI,97.1,0.5,0.4
Sawyer, WI,81,0.5,0.3
Shawano, WI,90.2,0.5,0.4
Sheboygan, WI,92.9,1.5,4.1
Taylor, WI,98.2,0.3,0.5
Trempealeau, WI,98.3,0.4,0.3
Vernon, WI,98.7,0.2,0.3
Vilas, WI,88.3,0.6,0.4
Walworth, WI,96.9,1,1
Washburn, WI,96.7,0.4,0.2
Washington, WI,96.7,1.2,1.1
Waukesha, WI,94.6,1.5,2.6
Waupaca, WI,98,0.4,0.3
Waushara, WI,97.3,0.8,0.4
Winnebago, WI,94.7,1.6,2.1
Wood, WI,95.9,0.6,1.8
WYOMING,,93.5,1.4,0.8
Albany, WY,93,1.5,2.3
Big Horn, WY,96.1,0.2,1.7
Campbell, WY,95.7,0.7,0.7
Carbon, WY,95.2,1,0.9
Converse, WY,96.7,0.3,0.3
Crook, WY,98,0.2,0.1
Fremont, WY,76.1,1,0.5
Goshen, WY,97.4,0.3,0.2
Hot Springs, WY,95.6,0.5,0.3
Johnson, WY,97.8,0.1,0.1
Laramie, WY,90.4,4.3,1.4
Lincoln, WY,97.6,0.3,0.2
Natrona, WY,94.7,1.6,0.7
Niobrara, WY,98.2,0.3,0.1
Park, WY,97.3,0.3,0.7
Platte, WY,97.6,0.3,0.2
Sheridan, WY,96.2,0.4,0.4
Sublette, WY,97.7,0.5,0.2
Sweetwater, WY,94.5,1.5,0.8
Teton, WY,96.9,0.6,0.8
Uinta, WY,96.8,0.3,0.4
Washakie, WY,96.6,0.2,0.8
Weston, WY,96.4,0.3,0.2
