County,State,2013,2014,2015,2016,2017,2018,2019
San Benito County, California,"57,239","57,825","58,216","59,225","60,164","61,467","62,808"
San Bernardino County, California,"2,082,738","2,099,181","2,115,411","2,131,960","2,150,945","2,166,753","2,180,085"
San Diego County, California,"3,209,768","3,248,877","3,280,850","3,306,089","3,321,237","3,333,861","3,338,330"
San Francisco County, California,"839,572","850,750","863,010","871,512","878,040","880,696","881,549"
San Joaquin County, California,"702,046","711,579","722,271","732,809","743,296","752,491","762,148"
San Luis Obispo County, California,"275,696","278,227","280,077","281,803","282,481","283,354","283,111"
San Mateo County, California,"748,661","757,204","765,055","767,906","768,901","768,681","766,573"
Santa Barbara County, California,"434,601","439,045","442,229","444,340","445,298","445,780","446,499"
Santa Clara County, California,"1,866,425","1,891,753","1,916,285","1,928,368","1,932,510","1,932,337","1,927,852"
Santa Cruz County, California,"268,816","270,861","273,503","274,396","274,856","273,841","273,213"
Shasta County, California,"178,397","178,844","178,314","178,571","179,384","179,709","180,080"
Sierra County, California,"3,028","2,972","2,985","2,951","3,002","2,997","3,005"
Siskiyou County, California,"43,532","43,338","43,254","43,376","43,622","43,550","43,539"
Solano County, California,"423,659","429,006","433,409","438,858","443,511","445,725","447,643"
Sonoma County, California,"494,073","498,560","500,863","502,547","502,469","498,643","494,336"
Stanislaus County, California,"523,451","528,015","533,211","539,255","544,717","548,126","550,660"
Sutter County, California,"94,507","94,778","95,282","95,742","96,204","96,348","96,971"
Tehama County, California,"62,875","62,801","63,158","63,453","63,847","64,018","65,084"
Trinity County, California,"13,427","13,128","13,094","12,828","12,726","12,567","12,285"
Tulare County, California,"452,460","455,138","457,161","459,235","462,308","464,589","466,195"
Tuolumne County, California,"53,997","53,851","53,615","53,770","53,976","54,387","54,478"
Ventura County, California,"838,136","842,297","845,802","847,323","849,044","848,142","846,006"
Yolo County, California,"206,292","208,398","212,037","215,627","218,477","220,118","220,500"
Yuba County, California,"73,090","73,533","74,045","74,952","76,578","77,557","78,668"
Adams County, Colorado,"469,978","479,946","490,443","497,734","503,590","511,354","517,421"
Alamosa County, Colorado,"15,787","15,803","15,894","16,053","16,108","16,248","16,233"
Arapahoe County, Colorado,"608,467","619,034","630,984","638,950","644,478","651,797","656,590"
Archuleta County, Colorado,"12,216","12,231","12,387","12,825","13,295","13,730","14,029"
Baca County, Colorado,"3,656","3,587","3,555","3,530","3,554","3,584","3,581"
Bent County, Colorado,"5,761","5,820","5,889","5,833","5,827","5,808","5,577"
Boulder County, Colorado,"309,323","312,233","318,027","321,250","322,441","324,636","326,196"
Broomfield County, Colorado,"60,149","61,764","64,866","66,513","68,263","69,324","70,465"
Chaffee County, Colorado,"18,355","18,451","18,612","19,110","19,666","20,041","20,356"
Cheyenne County, Colorado,"1,879","1,846","1,827","1,850","1,853","1,859","1,831"
Clear Creek County, Colorado,"9,024","9,124","9,244","9,353","9,574","9,604","9,700"
Conejos County, Colorado,"8,199","8,230","8,065","8,050","8,139","8,181","8,205"
Costilla County, Colorado,"3,541","3,561","3,576","3,693","3,756","3,812","3,887"
Crowley County, Colorado,"5,346","5,609","5,628","5,285","5,840","5,957","6,061"
Custer County, Colorado,"4,261","4,340","4,434","4,588","4,857","4,934","5,068"
Delta County, Colorado,"30,338","29,963","29,913","30,346","30,519","30,884","31,162"
Denver County, Colorado,"649,391","664,582","683,285","696,159","704,961","716,265","727,211"
Dolores County, Colorado,"2,033","1,977","1,981","2,056","2,045","2,060","2,055"
Douglas County, Colorado,"306,234","314,545","322,025","328,219","335,816","342,989","351,154"
Eagle County, Colorado,"52,816","53,276","53,865","54,541","54,929","54,943","55,127"
Elbert County, Colorado,"23,541","24,031","24,630","25,157","25,765","26,303","26,729"
El Paso County, Colorado,"655,209","663,129","674,001","688,277","700,099","712,089","720,403"
Fremont County, Colorado,"46,332","46,147","46,282","46,976","47,548","47,959","47,839"
Garfield County, Colorado,"56,938","57,161","57,698","58,785","59,032","59,701","60,061"
