County,State,2013,2014,2015,2016,2017,2018,2019
Dickson County, Tennessee,"50,164","50,465","51,334","51,900","52,774","53,446","53,948"
Dyer County, Tennessee,"38,093","37,807","37,753","37,542","37,339","37,286","37,159"
Fayette County, Tennessee,"38,812","39,123","39,280","39,703","40,150","40,556","41,133"
Fentress County, Tennessee,"17,904","17,849","17,965","18,040","18,214","18,322","18,523"
Franklin County, Tennessee,"41,213","41,288","41,343","41,518","41,623","41,935","42,208"
Gibson County, Tennessee,"49,380","49,436","49,329","49,250","49,255","49,171","49,133"
Giles County, Tennessee,"28,801","28,819","28,973","29,165","29,379","29,446","29,464"
Grainger County, Tennessee,"22,739","22,862","22,848","23,095","23,106","23,137","23,320"
Greene County, Tennessee,"68,336","68,464","68,586","68,529","68,821","69,164","69,069"
Grundy County, Tennessee,"13,449","13,340","13,337","13,276","13,332","13,348","13,427"
Hamblen County, Tennessee,"63,051","63,010","63,353","63,681","64,062","64,629","64,934"
Hamilton County, Tennessee,"349,050","350,729","353,690","357,778","361,032","364,293","367,804"
Hancock County, Tennessee,"6,621","6,619","6,577","6,583","6,593","6,561","6,620"
Hardeman County, Tennessee,"26,360","25,989","25,817","25,584","25,488","25,276","25,050"
Hardin County, Tennessee,"25,925","25,801","25,754","25,740","25,738","25,693","25,652"
Hawkins County, Tennessee,"56,696","56,481","56,370","56,565","56,620","56,713","56,786"
Haywood County, Tennessee,"18,234","18,235","18,036","17,822","17,607","17,347","17,304"
Henderson County, Tennessee,"28,042","28,093","28,078","27,855","27,851","27,983","28,117"
Henry County, Tennessee,"32,250","32,245","32,127","32,232","32,380","32,336","32,345"
Hickman County, Tennessee,"24,207","24,465","24,373","24,666","24,839","25,007","25,178"
Houston County, Tennessee,"8,276","8,221","8,124","8,101","8,158","8,234","8,201"
Humphreys County, Tennessee,"18,244","18,147","18,157","18,383","18,503","18,551","18,582"
Jackson County, Tennessee,"11,561","11,524","11,534","11,611","11,702","11,777","11,786"
Jefferson County, Tennessee,"52,134","52,408","53,011","53,148","53,730","54,012","54,495"
Johnson County, Tennessee,"18,014","17,935","17,842","17,759","17,603","17,774","17,788"
Knox County, Tennessee,"444,314","447,903","451,297","456,089","461,565","466,258","470,313"
Lake County, Tennessee,"7,713","7,680","7,602","7,531","7,451","7,407","7,016"
Lauderdale County, Tennessee,"27,573","27,357","26,903","25,320","26,093","25,997","25,633"
Lawrence County, Tennessee,"42,028","42,304","42,592","43,056","43,388","43,771","44,142"
Lewis County, Tennessee,"11,994","11,886","11,875","11,891","12,025","12,074","12,268"
Lincoln County, Tennessee,"33,499","33,443","33,609","33,564","33,892","34,189","34,366"
Loudon County, Tennessee,"50,386","50,586","50,916","51,373","52,260","53,082","54,068"
McMinn County, Tennessee,"52,431","52,675","52,502","52,700","52,931","53,336","53,794"
McNairy County, Tennessee,"26,035","26,032","25,864","25,832","26,001","25,830","25,694"
Macon County, Tennessee,"22,637","22,919","23,076","23,340","23,905","24,289","24,602"
Madison County, Tennessee,"98,730","98,134","97,569","97,478","97,491","97,603","97,984"
Marion County, Tennessee,"28,326","28,405","28,397","28,383","28,406","28,598","28,907"
Marshall County, Tennessee,"31,140","31,287","31,590","32,035","33,020","33,806","34,375"
Maury County, Tennessee,"83,618","85,384","87,425","89,556","92,237","94,273","96,387"
Meigs County, Tennessee,"11,659","11,703","11,804","11,953","12,042","12,297","12,422"
Monroe County, Tennessee,"45,228","45,391","45,625","45,848","46,035","46,269","46,545"
Montgomery County, Tennessee,"184,252","189,005","192,398","194,424","199,771","205,312","208,993"
Moore County, Tennessee,"6,274","6,285","6,261","6,293","6,391","6,457","6,488"
Morgan County, Tennessee,"21,673","21,699","21,494","21,741","21,555","21,534","21,403"
Obion County, Tennessee,"31,017","30,828","30,561","30,547","30,375","30,274","30,069"
Overton County, Tennessee,"21,969","21,951","22,067","21,964","21,998","22,068","22,241"
Perry County, Tennessee,"7,880","7,819","7,852","7,880","7,954","8,050","8,076"
Pickett County, Tennessee,"5,013","5,078","5,139","5,091","5,062","5,053","5,048"
Polk County, Tennessee,"16,632","16,684","16,769","16,794","16,759","16,918","16,832"
Putnam County, Tennessee,"74,095","74,930","75,074","75,985","77,299","78,631","80,245"
Rhea County, Tennessee,"32,529","32,623","32,373","32,474","32,671","32,911","33,167"
Roane County, Tennessee,"53,161","52,852","52,770","52,944","53,020","53,258","53,382"
Robertson County, Tennessee,"67,412","68,046","68,687","69,393","70,328","71,179","71,813"
Rutherford County, Tennessee,"281,148","288,848","298,197","307,415","316,531","324,647","332,285"
Scott County, Tennessee,"22,062","21,990","21,893","21,890","21,964","22,028","22,068"
Sequatchie County, Tennessee,"14,537","14,634","14,641","14,754","14,767","14,891","15,026"
Sevier County, Tennessee,"93,477","94,660","95,417","96,470","97,307","97,895","98,250"
Shelby County, Tennessee,"938,363","937,500","937,067","936,021","935,251","936,365","937,166"
Smith County, Tennessee,"19,117","19,097","19,308","19,526","19,732","19,979","20,157"
Stewart County, Tennessee,"13,277","13,210","13,187","13,190","13,422","13,619","13,715"
Sullivan County, Tennessee,"156,185","156,404","156,199","156,182","156,924","157,599","158,348"
Sumner County, Tennessee,"168,754","172,269","175,326","179,332","183,756","187,490","191,283"
Tipton County, Tennessee,"61,572","61,596","61,533","61,223","61,305","61,576","61,599"
Trousdale County, Tennessee,"7,810","7,998","8,051","9,955","10,831","11,033","11,284"
Unicoi County, Tennessee,"18,095","17,951","17,819","17,737","17,796","17,822","17,883"
Union County, Tennessee,"19,063","18,991","19,159","19,219","19,399","19,689","19,972"
Van Buren County, Tennessee,"5,574","5,696","5,695","5,721","5,747","5,763","5,872"
Warren County, Tennessee,"39,875","39,983","40,262","40,428","40,717","40,826","41,277"
Washington County, Tennessee,"125,397","125,745","126,137","127,247","127,603","128,661","129,375"
Wayne County, Tennessee,"16,920","16,860","16,767","16,747","16,641","16,635","16,673"
Weakley County, Tennessee,"34,155","34,001","33,872","33,610","33,325","33,413","33,328"
White County, Tennessee,"26,193","26,264","26,342","26,463","26,764","27,086","27,345"
Williamson County, Tennessee,"199,143","205,334","211,605","218,903","226,048","231,978","238,412"
Wilson County, Tennessee,"121,990","125,197","128,536","132,494","136,691","140,954","144,657"
Anderson County, Texas,"57,960","57,829","57,639","57,526","58,175","57,974","57,735"
Andrews County, Texas,"16,779","17,435","18,072","17,791","17,603","18,011","18,705"
Angelina County, Texas,"87,312","87,567","87,829","87,682","87,572","86,810","86,715"
Aransas County, Texas,"23,889","24,566","24,800","25,162","25,392","23,446","23,510"
Archer County, Texas,"8,801","8,844","8,763","8,781","8,783","8,700","8,553"
Armstrong County, Texas,"1,940","1,913","1,901","1,843","1,867","1,879","1,887"
Atascosa County, Texas,"47,021","47,715","48,363","48,720","49,083","50,322","51,153"
Austin County, Texas,"28,679","28,968","29,471","29,629","29,722","29,965","30,032"
Bailey County, Texas,"7,124","6,966","7,223","7,196","7,066","7,015","7,000"
Bandera County, Texas,"20,557","20,813","21,144","21,701","22,327","22,792","23,112"
Bastrop County, Texas,"75,814","77,737","80,115","82,591","84,585","86,595","88,723"
Baylor County, Texas,"3,577","3,566","3,609","3,638","3,555","3,573","3,509"
Bee County, Texas,"32,810","32,841","32,617","32,812","32,592","32,467","32,565"
Bell County, Texas,"327,028","330,149","336,076","341,094","347,377","355,397","362,924"
Bexar County, Texas,"1,821,328","1,858,003","1,894,834","1,927,651","1,956,988","1,981,187","2,003,554"
Blanco County, Texas,"10,636","10,805","11,029","11,301","11,481","11,648","11,931"
Borden County, Texas,646,665,655,657,670,647,654
Bosque County, Texas,"17,863","17,716","17,864","18,009","18,295","18,629","18,685"
Bowie County, Texas,"93,374","93,268","93,050","93,424","93,458","93,688","93,245"
Brazoria County, Texas,"329,890","337,570","345,227","353,155","361,853","368,887","374,264"
Brazos County, Texas,"204,116","208,975","216,258","219,739","223,917","225,781","229,211"
Brewster County, Texas,"9,287","9,150","9,143","9,211","9,325","9,272","9,203"
Briscoe County, Texas,"1,562","1,552","1,514","1,483","1,514","1,512","1,546"
Brooks County, Texas,"7,259","7,228","7,190","7,190","7,132","7,099","7,093"
Brown County, Texas,"37,671","37,553","37,736","38,039","37,815","37,820","37,864"
Burleson County, Texas,"17,269","17,387","17,611","17,848","18,053","18,335","18,443"
Burnet County, Texas,"43,580","43,954","44,734","45,817","46,600","47,344","48,155"
Caldwell County, Texas,"39,201","39,703","40,419","41,147","42,328","43,161","43,664"
Calhoun County, Texas,"21,729","21,812","21,887","21,948","21,712","21,504","21,290"
Callahan County, Texas,"13,502","13,505","13,589","13,789","13,968","13,990","13,943"
Cameron County, Texas,"417,357","419,005","419,450","421,350","422,227","422,139","423,163"
Camp County, Texas,"12,462","12,657","12,699","12,771","12,845","12,983","13,094"
Carson County, Texas,"5,988","6,036","6,013","6,096","6,005","6,007","5,926"
Cass County, Texas,"30,237","30,123","30,140","30,058","29,966","30,106","30,026"
Castro County, Texas,"8,120","7,927","7,787","7,765","7,696","7,588","7,530"
Chambers County, Texas,"37,367","38,296","39,028","40,163","41,269","42,227","43,837"
Cherokee County, Texas,"51,093","51,189","51,568","51,879","52,116","52,381","52,646"
Childress County, Texas,"7,055","7,196","7,169","7,204","7,269","7,315","7,306"
Clay County, Texas,"10,455","10,377","10,359","10,251","10,484","10,448","10,471"
Cochran County, Texas,"3,009","2,945","2,977","2,921","2,853","2,831","2,853"
Coke County, Texas,"3,180","3,217","3,227","3,259","3,285","3,355","3,387"
Coleman County, Texas,"8,526","8,416","8,316","8,412","8,399","8,367","8,175"
Collin County, Texas,"856,398","884,688","915,243","943,742","971,864","1,004,307","1,034,730"
Collingsworth County, Texas,"3,100","3,016","3,010","3,007","2,964","2,942","2,920"
Colorado County, Texas,"20,717","20,696","20,951","21,081","21,291","21,305","21,493"
Comal County, Texas,"118,627","123,214","128,795","134,343","140,721","148,141","156,209"
Comanche County, Texas,"13,554","13,472","13,395","13,543","13,533","13,540","13,635"
Concho County, Texas,"4,122","4,089","4,072","4,140","2,707","2,683","2,726"
Cooke County, Texas,"38,456","38,764","39,170","39,343","39,932","40,504","41,257"
Coryell County, Texas,"76,761","76,166","76,145","74,803","74,760","74,741","75,951"
Cottle County, Texas,"1,442","1,429","1,439","1,402","1,375","1,382","1,398"
Crane County, Texas,"4,718","4,897","4,995","4,779","4,685","4,755","4,797"
Crockett County, Texas,"3,763","3,790","3,735","3,642","3,535","3,439","3,464"
Crosby County, Texas,"5,924","5,825","5,918","5,911","5,849","5,764","5,737"
Culberson County, Texas,"2,306","2,282","2,254","2,220","2,230","2,194","2,171"
Dallam County, Texas,"7,110","7,214","7,301","7,357","7,272","7,303","7,287"
Dallas County, Texas,"2,484,486","2,519,410","2,557,830","2,591,488","2,620,154","2,629,350","2,635,516"
Dawson County, Texas,"13,219","13,445","12,987","12,999","12,744","12,605","12,728"
Deaf Smith County, Texas,"19,180","19,123","18,825","18,846","18,753","18,711","18,546"
Delta County, Texas,"5,120","5,142","5,159","5,147","5,276","5,332","5,331"
Denton County, Texas,"728,624","753,188","779,584","808,212","835,364","858,741","887,207"
DeWitt County, Texas,"20,377","20,518","20,632","20,623","20,180","20,106","20,160"
Dickens County, Texas,"2,297","2,215","2,204","2,193","2,190","2,218","2,211"
Dimmit County, Texas,"10,894","10,987","10,910","10,679","10,282","10,195","10,124"
Donley County, Texas,"3,561","3,483","3,391","3,387","3,340","3,315","3,278"
Duval County, Texas,"11,581","11,509","11,336","11,431","11,270","11,147","11,157"
Eastland County, Texas,"18,279","18,257","18,152","18,240","18,294","18,319","18,360"
Ector County, Texas,"149,656","154,588","159,903","157,858","156,951","161,960","166,223"
Edwards County, Texas,"1,899","1,904","1,910","1,908","1,929","1,908","1,932"
Ellis County, Texas,"155,928","159,204","163,292","168,332","173,405","179,006","184,826"
El Paso County, Texas,"830,864","833,783","831,898","834,949","837,401","836,825","839,238"
Erath County, Texas,"39,886","40,514","41,191","41,372","41,723","42,223","42,698"
Falls County, Texas,"17,242","17,210","17,216","17,276","17,340","17,231","17,297"
Fannin County, Texas,"33,510","33,593","33,502","33,933","34,550","35,185","35,514"
Fayette County, Texas,"24,721","24,782","24,945","25,018","25,119","25,278","25,346"
Fisher County, Texas,"3,859","3,874","3,877","3,877","3,874","3,821","3,830"
Floyd County, Texas,"6,245","5,947","5,843","5,847","5,830","5,783","5,712"
Foard County, Texas,"1,286","1,275","1,225","1,200","1,202","1,191","1,155"
Fort Bend County, Texas,"651,847","684,048","715,331","744,160","767,712","788,081","811,688"
Franklin County, Texas,"10,615","10,563","10,603","10,677","10,798","10,778","10,725"
Freestone County, Texas,"19,597","19,677","19,746","19,669","19,649","19,789","19,717"
Frio County, Texas,"18,400","18,938","19,361","19,584","19,895","20,211","20,306"
Gaines County, Texas,"18,807","19,335","20,217","20,446","20,553","20,820","21,492"
Galveston County, Texas,"306,589","313,367","320,974","328,820","334,633","337,858","342,139"
Garza County, Texas,"6,371","6,417","6,391","6,212","6,490","6,243","6,229"
Gillespie County, Texas,"25,363","25,473","25,916","26,206","26,483","26,702","26,988"
Glasscock County, Texas,"1,271","1,328","1,380","1,365","1,363","1,391","1,409"
Goliad County, Texas,"7,452","7,506","7,513","7,512","7,552","7,588","7,658"
Gonzales County, Texas,"20,143","20,347","20,510","20,787","20,742","20,781","20,837"
Gray County, Texas,"22,996","23,432","23,265","22,741","22,106","22,051","21,886"
Grayson County, Texas,"122,362","123,599","125,628","128,291","131,152","133,787","136,212"
Gregg County, Texas,"123,233","123,146","123,800","123,367","122,852","123,251","123,945"
Grimes County, Texas,"26,792","26,997","27,299","27,494","27,955","28,291","28,880"
Guadalupe County, Texas,"142,881","146,811","150,578","154,492","159,639","163,276","166,847"
Hale County, Texas,"35,676","34,451","34,034","34,107","33,954","33,631","33,406"
Hall County, Texas,"3,164","3,075","3,094","3,113","3,042","3,025","2,964"
Hamilton County, Texas,"8,241","8,160","8,080","8,237","8,407","8,477","8,461"
Hansford County, Texas,"5,547","5,561","5,654","5,592","5,485","5,470","5,399"
Hardeman County, Texas,"4,065","3,990","3,920","3,982","3,959","3,929","3,933"
Hardin County, Texas,"55,305","55,510","55,758","56,242","57,117","57,107","57,602"
Harris County, Texas,"4,353,187","4,455,994","4,557,846","4,623,960","4,657,972","4,680,045","4,713,325"
Harrison County, Texas,"66,267","66,581","66,685","66,611","66,468","66,584","66,553"
Hartley County, Texas,"5,999","6,055","5,702","5,740","5,716","5,611","5,576"
Haskell County, Texas,"5,901","5,811","5,821","5,751","5,699","5,699","5,658"
Hays County, Texas,"176,035","184,854","194,662","204,546","214,726","222,706","230,191"
Hemphill County, Texas,"4,153","4,165","4,277","4,101","3,929","3,845","3,819"
Henderson County, Texas,"78,669","79,324","79,492","80,062","80,954","82,103","82,737"
Hidalgo County, Texas,"818,619","829,819","839,667","848,960","856,249","862,298","868,707"
Hill County, Texas,"34,851","34,767","34,828","35,102","35,703","36,165","36,649"
Hockley County, Texas,"23,408","23,463","23,310","23,043","22,977","22,971","23,021"
Hood County, Texas,"52,860","53,812","55,227","56,569","57,973","60,177","61,643"
Hopkins County, Texas,"35,299","35,686","35,973","36,184","36,451","36,738","37,084"
Houston County, Texas,"22,809","22,809","22,747","22,897","23,089","23,068","22,968"
Howard County, Texas,"36,185","36,542","37,123","36,214","35,817","35,925","36,664"
Hudspeth County, Texas,"3,339","3,306","3,541","4,254","4,604","4,788","4,886"
Hunt County, Texas,"87,429","88,639","89,670","91,895","94,046","96,606","98,594"
Hutchinson County, Texas,"21,921","21,915","21,793","21,528","21,343","21,119","20,938"
Irion County, Texas,"1,610","1,574","1,543","1,562","1,512","1,516","1,536"
Jack County, Texas,"8,951","8,880","8,883","8,789","8,828","8,825","8,935"
Jackson County, Texas,"14,610","14,723","14,808","14,873","14,806","14,834","14,760"
Jasper County, Texas,"35,617","35,424","35,266","35,417","35,549","35,769","35,529"
Jeff Davis County, Texas,"2,231","2,217","2,199","2,231","2,260","2,243","2,274"
Jefferson County, Texas,"253,079","252,897","255,112","255,748","256,041","253,234","251,565"
Jim Hogg County, Texas,"5,263","5,328","5,296","5,257","5,212","5,192","5,200"
Jim Wells County, Texas,"41,681","41,504","41,523","41,181","40,920","40,756","40,482"
Johnson County, Texas,"154,535","156,733","159,345","162,763","167,012","171,121","175,817"
Jones County, Texas,"20,044","19,850","19,966","19,971","19,827","19,866","20,083"
Karnes County, Texas,"14,727","14,910","15,413","15,494","15,556","15,660","15,601"
Kaufman County, Texas,"108,248","110,872","114,055","117,904","122,628","128,279","136,154"
Kendall County, Texas,"37,133","38,363","39,938","41,903","43,969","45,603","47,431"
Kenedy County, Texas,438,437,441,436,427,437,404
Kent County, Texas,782,748,747,748,759,726,762
Kerr County, Texas,"49,787","50,343","50,880","51,426","51,892","52,415","52,600"
Kimble County, Texas,"4,461","4,464","4,391","4,413","4,385","4,338","4,337"
King County, Texas,273,263,282,292,289,276,272
Kinney County, Texas,"3,632","3,554","3,589","3,636","3,711","3,692","3,667"
Kleberg County, Texas,"32,021","31,891","31,413","31,304","30,752","30,722","30,680"
Knox County, Texas,"3,722","3,801","3,792","3,732","3,674","3,662","3,664"
Lamar County, Texas,"49,092","49,411","49,373","49,528","49,568","49,729","49,859"
Lamb County, Texas,"13,663","13,484","13,259","13,195","13,165","13,103","12,893"
Lampasas County, Texas,"20,142","20,106","20,362","20,524","20,861","21,134","21,428"
La Salle County, Texas,"7,444","7,481","7,637","7,596","7,530","7,493","7,520"
Lavaca County, Texas,"19,631","19,779","19,919","19,891","20,028","20,114","20,154"
Lee County, Texas,"16,545","16,621","16,868","16,975","17,109","17,097","17,239"
Leon County, Texas,"16,620","16,730","17,028","17,200","17,235","17,260","17,404"
Liberty County, Texas,"76,849","78,045","79,537","81,354","83,597","85,802","88,219"
Limestone County, Texas,"23,440","23,529","23,442","23,472","23,391","23,343","23,437"
Lipscomb County, Texas,"3,490","3,553","3,559","3,494","3,364","3,342","3,233"
Live Oak County, Texas,"11,817","12,057","12,173","12,023","12,146","12,148","12,207"
Llano County, Texas,"19,509","19,666","20,081","20,592","21,167","21,600","21,795"
Loving County, Texas,106,89,119,117,133,148,169
Lubbock County, Texas,"289,515","294,433","298,337","302,094","305,413","307,627","310,569"
Lynn County, Texas,"5,728","5,798","5,746","5,775","5,832","5,848","5,951"
McCulloch County, Texas,"8,243","8,152","8,255","8,124","7,941","7,982","7,984"
McLennan County, Texas,"241,443","243,166","245,444","247,553","251,631","254,196","256,623"
McMullen County, Texas,760,799,828,806,765,731,743
Madison County, Texas,"13,820","13,871","13,968","14,120","14,251","14,363","14,284"
Marion County, Texas,"10,277","10,149","10,136","10,125","10,057","9,915","9,854"
Martin County, Texas,"5,272","5,462","5,646","5,616","5,531","5,681","5,771"
Mason County, Texas,"4,120","4,095","4,057","4,161","4,179","4,259","4,274"
Matagorda County, Texas,"36,500","36,478","36,766","37,088","36,805","36,566","36,643"
Maverick County, Texas,"56,532","57,115","57,720","58,041","58,111","58,276","58,722"
Medina County, Texas,"47,238","47,830","48,402","49,254","50,183","50,862","51,584"
Menard County, Texas,"2,137","2,128","2,134","2,091","2,110","2,120","2,138"
Midland County, Texas,"152,356","156,725","162,328","163,850","165,318","172,505","176,832"
Milam County, Texas,"24,090","24,143","24,362","24,680","24,939","25,045","24,823"
Mills County, Texas,"4,872","4,872","4,889","4,884","4,917","4,883","4,873"
Mitchell County, Texas,"8,999","9,070","8,856","8,474","8,215","8,525","8,545"
Montague County, Texas,"19,387","19,365","19,252","19,390","19,399","19,584","19,818"
Montgomery County, Texas,"498,392","517,146","535,753","555,216","571,615","589,770","607,391"
Moore County, Texas,"22,146","21,986","21,725","21,641","21,604","21,083","20,940"
Morris County, Texas,"12,680","12,606","12,370","12,429","12,375","12,303","12,388"
Motley County, Texas,"1,192","1,149","1,146","1,170","1,226","1,232","1,200"
Nacogdoches County, Texas,"65,193","65,240","65,462","65,549","65,317","65,161","65,204"
Navarro County, Texas,"48,036","47,913","48,181","48,405","48,739","49,536","50,113"
Newton County, Texas,"14,341","14,292","14,158","14,160","13,908","13,751","13,595"
Nolan County, Texas,"15,068","15,126","15,111","15,044","14,854","14,799","14,714"
Nueces County, Texas,"352,946","356,657","360,504","361,642","361,235","362,026","362,294"
Ochiltree County, Texas,"10,704","10,715","10,698","10,257","9,996","9,866","9,836"
Oldham County, Texas,"2,088","2,069","2,064","2,074","2,104","2,118","2,112"
Orange County, Texas,"82,811","83,244","83,955","84,549","84,971","83,474","83,396"
Palo Pinto County, Texas,"27,886","28,041","27,966","28,125","28,544","28,874","29,189"
Panola County, Texas,"23,790","23,750","23,667","23,419","23,211","23,142","23,194"
Parker County, Texas,"119,785","122,147","125,640","128,967","133,501","138,070","142,878"
Parmer County, Texas,"9,986","9,952","9,794","9,762","9,710","9,719","9,605"
Pecos County, Texas,"15,660","15,828","16,030","15,881","15,634","15,709","15,823"
Polk County, Texas,"45,522","45,813","46,613","47,656","48,990","49,955","51,353"
Potter County, Texas,"122,127","122,061","121,272","120,632","120,340","118,711","117,415"
Presidio County, Texas,"7,386","7,194","7,057","7,156","7,100","6,856","6,704"
Rains County, Texas,"11,033","11,013","11,136","11,304","11,730","12,147","12,514"
Randall County, Texas,"126,753","128,733","130,368","132,342","134,015","135,691","137,713"
Reagan County, Texas,"3,633","3,785","3,807","3,726","3,712","3,736","3,849"
Real County, Texas,"3,318","3,347","3,297","3,399","3,417","3,477","3,452"
Red River County, Texas,"12,487","12,445","12,345","12,179","12,164","12,143","12,023"
Reeves County, Texas,"14,494","15,124","15,574","15,229","15,166","15,513","15,976"
Refugio County, Texas,"7,279","7,362","7,326","7,272","7,180","7,000","6,948"
Roberts County, Texas,919,914,910,910,941,898,854
Robertson County, Texas,"16,431","16,468","16,698","16,804","17,153","17,219","17,074"
Rockwall County, Texas,"84,670","87,064","90,170","93,421","96,824","100,546","104,915"
Runnels County, Texas,"10,196","10,294","10,387","10,276","10,282","10,178","10,264"
Rusk County, Texas,"53,332","53,212","52,965","52,892","54,213","54,301","54,406"
Sabine County, Texas,"10,424","10,428","10,440","10,381","10,417","10,576","10,542"
San Augustine County, Texas,"8,663","8,481","8,349","8,288","8,302","8,254","8,237"
San Jacinto County, Texas,"26,731","27,049","27,361","27,732","28,231","28,717","28,859"
San Patricio County, Texas,"66,134","66,656","67,117","67,311","67,210","66,671","66,730"
San Saba County, Texas,"5,960","5,858","5,922","5,922","5,996","6,060","6,055"
Schleicher County, Texas,"3,191","3,164","3,195","3,057","2,989","2,880","2,793"
Scurry County, Texas,"17,272","17,377","17,570","17,394","17,003","16,812","16,703"
Shackelford County, Texas,"3,375","3,316","3,333","3,337","3,289","3,256","3,265"
Shelby County, Texas,"25,977","25,607","25,373","25,566","25,225","25,307","25,274"
Sherman County, Texas,"3,070","3,065","3,058","3,070","3,046","3,101","3,022"
Smith County, Texas,"216,475","219,642","222,390","225,161","227,195","229,749","232,751"
Somervell County, Texas,"8,566","8,559","8,618","8,671","8,855","9,030","9,128"
Starr County, Texas,"62,381","62,965","63,484","63,894","64,130","64,249","64,633"
Stephens County, Texas,"9,371","9,342","9,385","9,377","9,287","9,405","9,366"
Sterling County, Texas,"1,229","1,340","1,333","1,339","1,287","1,304","1,291"
Stonewall County, Texas,"1,418","1,388","1,398","1,401","1,376","1,352","1,350"
Sutton County, Texas,"3,982","3,969","3,915","3,886","3,792","3,752","3,776"
Swisher County, Texas,"7,720","7,554","7,477","7,428","7,446","7,413","7,397"
Tarrant County, Texas,"1,912,767","1,946,122","1,984,880","2,023,556","2,056,451","2,081,446","2,102,515"
Taylor County, Texas,"133,927","134,987","136,133","136,257","136,634","137,294","138,034"
Terrell County, Texas,891,910,867,818,814,810,776
Terry County, Texas,"12,713","12,795","12,759","12,770","12,429","12,344","12,337"
Throckmorton County, Texas,"1,606","1,613","1,559","1,537","1,510","1,504","1,501"
Titus County, Texas,"32,587","32,502","32,626","32,463","32,619","32,743","32,750"
Tom Green County, Texas,"114,680","116,319","117,514","117,634","117,566","118,014","119,200"
Travis County, Texas,"1,122,248","1,152,260","1,179,805","1,206,110","1,227,585","1,246,572","1,273,954"
Trinity County, Texas,"14,445","14,298","14,539","14,543","14,677","14,688","14,651"
Tyler County, Texas,"21,508","21,468","21,370","21,423","21,517","21,609","21,672"
Upshur County, Texas,"39,757","40,280","40,317","40,771","41,069","41,179","41,753"
Upton County, Texas,"3,386","3,482","3,652","3,690","3,658","3,637","3,657"
Uvalde County, Texas,"26,904","27,022","26,949","27,081","27,043","26,787","26,741"
Val Verde County, Texas,"49,044","48,845","48,891","48,911","49,028","48,988","49,025"
Van Zandt County, Texas,"52,328","52,781","53,430","54,367","55,163","55,966","56,590"
Victoria County, Texas,"90,066","91,042","92,136","92,402","92,045","91,878","92,084"
Walker County, Texas,"69,404","70,076","70,836","71,845","72,816","73,136","72,971"
Waller County, Texas,"45,408","46,765","48,641","50,046","51,717","53,512","55,246"
Ward County, Texas,"11,205","11,571","11,631","11,571","11,383","11,709","11,998"
Washington County, Texas,"34,201","34,403","34,836","34,740","34,861","35,496","35,882"
Webb County, Texas,"264,430","267,465","269,865","272,301","273,691","275,120","276,652"
Wharton County, Texas,"41,122","41,095","41,383","41,609","41,837","41,499","41,556"
Wheeler County, Texas,"5,716","5,696","5,658","5,518","5,300","5,158","5,056"
Wichita County, Texas,"132,192","132,646","130,961","131,295","131,689","131,807","132,230"
Wilbarger County, Texas,"13,204","12,988","13,055","12,880","12,683","12,777","12,769"
Willacy County, Texas,"22,019","21,935","21,863","21,761","21,508","21,450","21,358"
Williamson County, Texas,"470,017","487,913","507,133","527,622","546,251","566,463","590,551"
Wilson County, Texas,"45,217","46,145","47,178","48,212","49,211","50,196","51,070"
Winkler County, Texas,"7,635","7,819","8,027","7,915","7,605","7,778","8,010"
Wise County, Texas,"61,019","61,702","62,857","64,478","65,848","68,284","69,984"
Wood County, Texas,"42,346","42,764","43,117","43,753","44,263","45,157","45,539"
Yoakum County, Texas,"8,222","8,398","8,644","8,652","8,557","8,590","8,713"
Young County, Texas,"18,354","18,274","18,163","18,098","17,922","17,986","18,010"
Zapata County, Texas,"14,385","14,376","14,493","14,446","14,254","14,149","14,179"
Zavala County, Texas,"12,195","12,243","12,310","12,121","11,957","11,969","11,840"
Beaver County, Utah,"6,457","6,432","6,353","6,478","6,421","6,625","6,710"
Box Elder County, Utah,"50,727","51,300","51,826","52,975","53,977","54,906","56,046"
Cache County, Utah,"117,025","117,894","119,697","122,201","124,236","126,400","128,289"
Carbon County, Utah,"20,903","20,636","20,391","20,324","20,131","20,233","20,463"
Daggett County, Utah,"1,140","1,124","1,107","1,076","1,013",974,950
Davis County, Utah,"322,228","328,714","334,597","341,000","346,658","351,101","355,481"
Duchesne County, Utah,"19,960","20,199","20,748","20,242","19,868","19,943","19,938"
Emery County, Utah,"10,759","10,638","10,359","10,206","10,006","10,003","10,012"
Garfield County, Utah,"5,029","5,005","4,962","4,952","5,025","5,002","5,051"
Grand County, Utah,"9,376","9,481","9,551","9,622","9,589","9,686","9,754"
Iron County, Utah,"46,530","47,041","48,113","49,676","50,761","52,678","54,839"
Juab County, Utah,"10,261","10,410","10,551","11,016","11,293","11,629","12,017"
Kane County, Utah,"7,124","7,167","7,039","7,297","7,520","7,677","7,886"
Millard County, Utah,"12,555","12,538","12,620","12,655","12,821","12,987","13,188"
Morgan County, Utah,"10,207","10,601","11,039","11,370","11,829","11,956","12,124"
Piute County, Utah,"1,488","1,467","1,491","1,459","1,407","1,438","1,479"
Rich County, Utah,"2,263","2,273","2,300","2,313","2,395","2,456","2,483"
Salt Lake County, Utah,"1,079,392","1,090,005","1,102,273","1,120,109","1,136,719","1,148,692","1,160,437"
San Juan County, Utah,"14,988","15,058","15,239","15,329","15,277","15,358","15,308"
