Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
Alexander, IL,677,5.1,3329,,
Bond, IL,662,5.5,6427,,
Boone, IL,1465,6.1,18505,,
Brown, IL,363,5.4,2099,,
Bureau, IL,1458,6,14262,,
Calhoun, IL,750,5.1,2085,,
Carroll, IL,1815,6,6622,,
Cass, IL,566,5.7,5270,,
Champaign, IL,6904,5.2,80665,,
Christian, IL,1508,5.4,14055,,
Clark, IL,990,5.7,6782,,
Clay, IL,707,5.6,5697,,
Clinton, IL,1306,5.7,14005,,
Coles, IL,1962,5.2,21463,,
Cook, IL,214003,5.2,1966356,,
Crawford, IL,898,5.5,7763,,
Cumberland, IL,497,5.5,4377,,
DeKalb, IL,2595,5.5,38484,,
De Witt, IL,710,5.7,6811,,
Douglas, IL,670,5.8,7720,,
DuPage, IL,19047,6.1,337132,,
Edgar, IL,964,5.6,7839,,
Edwards, IL,347,5.6,2840,,
Effingham, IL,1055,5.7,13515,,
Fayette, IL,991,5.5,8311,,
Ford, IL,606,6.2,5676,,
Franklin, IL,1908,5.2,16617,,
Fulton, IL,1659,5.7,14536,,
Gallatin, IL,343,5.3,2403,,
Greene, IL,819,5.5,5570,,
Grundy, IL,1450,5.8,18546,,
Hamilton, IL,615,5.3,3489,,
Hancock, IL,1234,5.9,8040,,
Hardin, IL,573,5,1915,,
Henderson, IL,678,5.3,3149,,
Henry, IL,1788,6.1,20373,,
Iroquois, IL,1496,6,11956,,
Jackson, IL,3040,4.7,25538,,
Jasper, IL,405,5.6,3940,,
Jefferson, IL,1589,5.4,15365,,
Jersey, IL,1020,5.4,8828,,
Jo Daviess, IL,3821,6.1,9753,,
Johnson, IL,1014,5.3,4584,,
Kane, IL,11568,6.1,170479,,
Kankakee, IL,3735,5.6,41511,,
Kendall, IL,2299,6.7,38022,,
Knox, IL,2542,5.6,21535,,
Lake, IL,18598,6.3,241712,,
LaSalle, IL,4631,5.6,45347,,
Lawrence, IL,806,5.4,6130,,
Lee, IL,1291,6,13758,,
Livingston, IL,1282,5.9,14613,,
Logan, IL,1037,5.6,11070,,
McDonough, IL,1362,5.3,13057,,
McHenry, IL,6841,6.5,109199,,
McLean, IL,4552,5.8,65104,,
Macon, IL,4620,5.5,45855,,
Macoupin, IL,2203,5.5,19381,,
Madison, IL,9012,5.4,108094,,
Marion, IL,2148,5.4,16148,,
Marshall, IL,753,6,5161,,
Mason, IL,998,5.8,6079,,
Massac, IL,751,5.4,6362,,
Menard, IL,514,5.9,5140,,
Mercer, IL,624,6,6734,,
Monroe, IL,803,5.8,12589,,
Montgomery, IL,1428,5.6,11652,,
Morgan, IL,1411,5.5,14104,,
Moultrie, IL,502,5.7,5758,,
Ogle, IL,1705,6,20856,,
Peoria, IL,7241,5.5,75793,,
Perry, IL,1091,5.4,8335,,
Piatt, IL,487,6.1,6782,,
Pike, IL,1312,5.6,6639,,
Pope, IL,662,5,1829,,
Pulaski, IL,513,5.1,2642,,
Putnam, IL,565,5.5,2509,,
Randolph, IL,1393,5.4,12314,,
Richland, IL,787,5.6,6726,,
Rock Island, IL,4453,5.5,61303,,
St. Clair, IL,11204,5.4,105045,,
