Area_name,,Vacant housing units 2010 (complete count),"Housing units - median rooms, 2005-2009",Occupied housing units 2010 (complete count),,
Duchesne, UT,3490,5.6,6003,,
Emery, UT,757,5.5,3732,,
Garfield, UT,1796,5.5,1930,,
Grand, UT,927,5.2,3889,,
Iron, UT,4645,5.5,15022,,
Juab, UT,409,6,3093,,
Kane, UT,2915,5.2,2900,,
Millard, UT,738,6.1,4201,,
Morgan, UT,186,7.1,2820,,
Piute, UT,322,5.3,576,,
Rich, UT,2029,5,805,,
Salt Lake, UT,21409,6.1,342622,,
San Juan, UT,1229,4.8,4505,,
Sanpete, UT,2427,6.1,7952,,
Sevier, UT,1355,6.1,7094,,
Summit, UT,13555,5.8,12990,,
Tooele, UT,1484,6.4,17971,,
Uintah, UT,1409,5.7,10563,,
Utah, UT,7748,6.7,140602,,
Wasatch, UT,3290,6.5,7287,,
Washington, UT,11400,5.4,46334,,
Wayne, UT,532,5.5,1059,,
Weber, UT,7439,6.1,78748,,
VERMONT,,66097,5.6,256442,,
Addison, VT,2676,5.7,14084,,
Bennington, VT,5452,5.9,15470,,
Caledonia, VT,3389,5.6,12553,,
Chittenden, VT,3895,5.5,61827,,
Essex, VT,2201,5,2818,,
Franklin, VT,3075,5.7,18513,,
Grand Isle, VT,2146,5.1,2902,,
Lamoille, VT,2955,5.5,10014,,
Orange, VT,2958,5.6,11887,,
Orleans, VT,4842,5.5,11320,,
Rutland, VT,7784,5.5,25984,,
Washington, VT,4914,5.7,25027,,
Windham, VT,10445,5.5,19290,,
Windsor, VT,9365,5.7,24753,,
VIRGINIA,,308881,5.9,3056058,,
Accomack, VA,7204,5.3,13798,,
Albemarle, VA,3965,5.9,38157,,
Alleghany, VA,1183,5.9,6891,,
Amelia, VA,538,5.7,4821,,
Amherst, VA,1416,5.6,12560,,
Appomattox, VA,888,5.5,6033,,
Arlington, VA,7354,4.4,98050,,
Augusta, VA,2678,5.9,28516,,
Bath, VA,1108,5.9,2162,,
Bedford, VA,4472,6,27465,,
Bland, VA,699,5.6,2566,,
Botetourt, VA,1436,6.3,13126,,
Brunswick, VA,1800,5.7,6366,,
Buchanan, VA,1608,5.2,9968,,
Buckingham, VA,1279,5.3,5965,,
Campbell, VA,2328,5.4,22441,,
Caroline, VA,1273,5.9,10456,,
Carroll, VA,3738,5.2,12831,,
Charles City, VA,274,5.8,2955,,
Charlotte, VA,1164,5.6,5109,,
Chesterfield, VA,6875,6.7,115680,,
Clarke, VA,726,6.1,5509,,
Craig, VA,626,5.7,2183,,
Culpeper, VA,1426,6.1,16231,,
Cumberland, VA,646,5.7,3980,,
Dickenson, VA,989,5.4,6590,,
Dinwiddie, VA,918,5.5,10504,,
Essex, VA,1240,6,4517,,
Fairfax, VA,16371,6.8,391627,,
Fauquier, VA,1942,6.8,23658,,
Floyd, VA,1375,5.5,6415,,
Fluvanna, VA,934,6.2,9449,,
Franklin, VA,6535,5.5,22780,,
Frederick, VA,2482,6.1,28864,,
Giles, VA,1104,5.6,7215,,
Gloucester, VA,1559,5.8,14293,,
Goochland, VA,620,6.9,7998,,
Grayson, VA,2310,5.4,6846,,
Greene, VA,729,5.9,6780,,
Greensville, VA,524,5.4,3566,,
Halifax, VA,2919,5.5,15085,,
Hanover, VA,1771,7,36589,,
Henrico, VA,8177,6,124601,,
Henry, VA,3117,5.3,23151,,
Highland, VA,756,6.2,1081,,
Isle of Wight, VA,915,6.3,13718,,
James City, VA,2937,6.6,26860,,
King and Queen, VA,532,5.6,2882,,
King George, VA,1101,6.2,8376,,
King William, VA,543,6,5979,,
Lancaster, VA,2137,5.9,5265,,
Lee, VA,1586,5.4,10159,,
Loudoun, VA,4859,7.2,104583,,
Louisa, VA,3375,5.8,12944,,
Lunenburg, VA,978,5.5,4957,,
Madison, VA,849,6,5083,,
Mathews, VA,1811,5.8,3858,,
Mecklenburg, VA,5096,5.4,13495,,
Middlesex, VA,2425,5.9,4708,,
Montgomery, VA,2802,5.4,35767,,
Nelson, VA,3535,5.3,6396,,
New Kent, VA,482,6.4,6813,,
Northampton, VA,1978,5.7,5323,,
Northumberland, VA,3455,6,5540,,
Nottoway, VA,944,5.6,5706,,
Orange, VA,1721,5.9,12895,,
Page, VA,1854,5.7,9746,,
Patrick, VA,2002,5.1,8081,,
Pittsylvania, VA,5124,5.4,26183,,
Powhatan, VA,549,6.7,9494,,
Prince Edward, VA,1233,5.3,7916,,
Prince George, VA,605,6.1,11451,,
Prince William, VA,6330,7,130785,,
Pulaski, VA,2414,5.4,14821,,
Rappahannock, VA,767,6,3072,,
Richmond, VA,691,5.9,3159,,
Roanoke, VA,2408,6.4,37608,,
Rockbridge, VA,1597,5.8,9555,,
Rockingham, VA,4483,5.8,29177,,
Russell, VA,1541,5.3,11943,,
Scott, VA,2141,5.4,9775,,
Shenandoah, VA,3800,5.7,17076,,
Smyth, VA,2108,5.4,13319,,
Southampton, VA,754,5.9,6719,,
Spotsylvania, VA,3243,6.7,41942,,
Stafford, VA,2209,7.4,41769,,
Surry, VA,618,5.5,2826,,
Sussex, VA,702,5.3,3994,,
Tazewell, VA,2377,5.5,18449,,
Warren, VA,1949,5.8,14085,,
Washington, VA,2758,5.5,22843,,
Westmoreland, VA,3308,5.8,7310,,
Wise, VA,1972,5.3,15968,,
Wythe, VA,1607,5.4,12472,,
York, VA,2843,6.7,24006,,
Alexandria, VA,4294,4.4,68082,,
Bedford, VA,293,5.2,2627,,
Bristol, VA,952,5.5,7879,,
Buena Vista, VA,333,5.4,2603,,
Charlottesville, VA,1411,5.1,17778,,
Chesapeake, VA,3622,6.4,79574,,
Clifton Forge, VA,0,0,0,,
Colonial Heights, VA,556,6,7275,,
Covington, VA,435,5.5,2632,,
Danville, VA,3607,5.2,18831,,
Emporia, VA,249,5.1,2316,,
Fairfax, VA,333,6.8,8347,,
Falls Church, VA,388,6.1,5101,,
Franklin, VA,371,5.6,3530,,
Fredericksburg, VA,962,4.9,9505,,
Galax, VA,330,4.8,2922,,
Hampton, VA,4535,5.5,55031,,
Harrisonburg, VA,1456,5.1,15988,,
Hopewell, VA,992,5.1,9129,,
Lexington, VA,309,5.9,2237,,
Lynchburg, VA,3516,5.5,28476,,
Manassas, VA,596,6.1,12527,,
Manassas Park, VA,397,6.1,4507,,
Martinsville, VA,1121,5.7,6084,,
Newport News, VA,5534,5.4,70664,,
Norfolk, VA,8533,5.2,86485,,
Norton, VA,195,5.4,1750,,
Petersburg, VA,2692,5,13634,,
Poquoson, VA,201,6.9,4525,,
Portsmouth, VA,3482,5.5,37324,,
Radford, VA,437,5.5,5990,,
Richmond, VA,11198,5,87151,,
Roanoke, VA,4741,5.4,42712,,
Salem, VA,787,5.8,10045,,
South Boston, VA,0,0,0,,
Staunton, VA,1258,5.7,10480,,
Suffolk, VA,2167,6.3,30868,,
Virginia Beach, VA,12790,6,165089,,
Waynesboro, VA,814,5.6,8903,,
Williamsburg, VA,605,5.6,4571,,
Winchester, VA,1265,5.3,10607,,
WASHINGTON,,265601,5.5,2620076,,
Adams, WA,522,5.4,5720,,
Asotin, WA,636,5.5,9236,,
Benton, WA,3314,5.9,65304,,
Chelan, WA,7638,5.6,27827,,
Clallam, WA,4253,5.4,31329,,
Clark, WA,9314,5.8,158099,,
Columbia, WA,374,5.7,1762,,
Cowlitz, WA,3206,5.6,40244,,
Douglas, WA,2110,5.6,13894,,
Ferry, WA,1213,4.9,3190,,
Franklin, WA,1178,5.5,23245,,
Garfield, WA,244,6,989,,
Grant, WA,5042,5.2,30041,,
Grays Harbor, WA,6587,5.2,28579,,
Island, WA,7488,5.7,32746,,
Jefferson, WA,3718,5.2,14049,,
King, WA,62029,5.3,789232,,
Kitsap, WA,10147,5.6,97220,,
Kittitas, WA,5305,4.9,16595,,
Klickitat, WA,1459,5.4,8327,,
Lewis, WA,4307,5.5,29743,,
Lincoln, WA,1354,5.8,4422,,
Mason, WA,8686,5,23832,,
Okanogan, WA,5726,5.1,16519,,
Pacific, WA,6048,4.9,9499,,
Pend Oreille, WA,2457,4.9,5479,,
Pierce, WA,25457,5.6,299918,,
San Juan, WA,5700,4.7,7613,,
Skagit, WA,5916,5.5,45557,,
Skamania, WA,1106,5.3,4522,,
Snohomish, WA,18334,5.7,268325,,
Spokane, WA,14267,5.8,187167,,
Stevens, WA,3840,5.6,17316,,
Thurston, WA,7532,5.6,100650,,
Wahkiakum, WA,330,5.6,1737,,
Walla Walla, WA,1732,5.5,21719,,
Whatcom, WA,10295,5.2,80370,,
Whitman, WA,1855,4.9,17468,,
Yakima, WA,4882,5.4,80592,,
WEST VIRGINIA,,118086,5.6,763831,,
Barbour, WV,1301,5.6,6548,,
Berkeley, WV,4907,5.7,39855,,
Boone, WV,1142,5.5,9928,,
Braxton, WV,1415,5.3,6000,,
Brooke, WV,947,5.5,10020,,
Cabell, WV,4946,5.5,41223,,
Calhoun, WV,695,5.3,3268,,
Clay, WV,844,5.2,3728,,
Doddridge, WV,847,5.6,3099,,
Fayette, WV,2805,5.4,18813,,
Gilmer, WV,695,5.4,2753,,
Grant, WV,1425,5.4,4941,,
Greenbrier, WV,3537,5.6,15443,,
Hampshire, WV,4093,5.3,9595,,
Hancock, WV,1244,5.6,13297,,
Hardy, WV,2260,5.4,5818,,
Harrison, WV,2898,5.6,28533,,
Jackson, WV,1374,5.8,11931,,
Jefferson, WV,2106,6.2,19931,,
Kanawha, WV,8417,5.6,84201,,
Lewis, WV,1095,5.8,6863,,
Lincoln, WV,1104,5.2,8783,,
Logan, WV,1836,5.4,14907,,
McDowell, WV,2146,5.3,9176,,
Marion, WV,2677,5.4,23786,,
Marshall, WV,2049,5.5,13869,,
Mason, WV,1857,5.4,11149,,
Mercer, WV,3512,5.4,26603,,
Mineral, WV,1489,5.6,11550,,
Mingo, WV,1574,5.3,11125,,
Monongalia, WV,3461,5.1,39777,,
Monroe, WV,1946,5.6,5655,,
Morgan, WV,2450,5.6,7303,,
Nicholas, WV,2126,5.4,10938,,
Ohio, WV,2258,5.6,18914,,
Pendleton, WV,1847,5.7,3285,,
Pleasants, WV,529,5.5,2861,,
Pocahontas, WV,5089,4.7,3758,,
Preston, WV,2202,5.6,12895,,
Putnam, WV,1457,6.1,21981,,
Raleigh, WV,4100,6,31831,,
Randolph, WV,2494,5.7,11695,,
Ritchie, WV,1476,5.9,4367,,
Roane, WV,1156,5.5,6195,,
Summers, WV,2108,5.5,5572,,
Taylor, WV,763,5.4,6778,,
Tucker, WV,2289,5.7,3057,,
Tyler, WV,1142,5.9,3858,,
Upshur, WV,1480,5.9,9619,,
Wayne, WV,1880,5.6,17347,,
Webster, WV,1636,5.4,3792,,
Wetzel, WV,1205,5.7,6968,,
Wirt, WV,840,5.5,2391,,
Wood, WV,3644,5.7,36571,,
Wyoming, WV,1271,5.5,9687,,
WISCONSIN,,344590,5.5,2279768,,
Adams, WI,8770,5.1,8666,,
Ashland, WI,2920,5.1,6736,,
Barron, WI,4441,5.4,19173,,
Bayfield, WI,6313,4.7,6686,,
Brown, WI,5988,5.4,98383,,
Buffalo, WI,956,5.9,5708,,
Burnett, WI,8471,4.9,6807,,
Calumet, WI,1120,5.9,18575,,
Chippewa, WI,2775,5.8,24410,,
Clark, WI,2397,5.8,12679,,
Columbia, WI,3402,5.9,22735,,
Crawford, WI,1990,5.4,6812,,
Dane, WI,12272,5.4,203750,,
Dodge, WI,3165,5.7,33840,,
Door, WI,11418,5.4,12548,,
Douglas, WI,4270,5.4,18555,,
Dunn, WI,1591,5.6,16373,,
Eau Claire, WI,2658,5.5,39493,,
Florence, WI,2793,4.5,1987,,
Fond du Lac, WI,3213,5.7,40697,,
Forest, WI,5134,4.6,3836,,
Grant, WI,2185,5.9,19396,,
Green, WI,990,5.9,14866,,
Green Lake, WI,2697,5.8,7919,,
Iowa, WI,1172,5.9,9547,,
Iron, WI,3177,5.1,2822,,
Jackson, WI,1884,5.5,7843,,
Jefferson, WI,3030,5.7,32117,,
Juneau, WI,4142,5.3,10527,,
Kenosha, WI,6638,5.3,62650,,
Kewaunee, WI,1065,5.8,8239,,
La Crosse, WI,2265,5.5,46137,,
Lafayette, WI,621,6.1,6609,,
Langlade, WI,3773,5.2,8587,,
Lincoln, WI,4690,5.4,12094,,
Manitowoc, WI,3176,5.7,34013,,
Marathon, WI,4558,5.8,53176,,
Marinette, WI,12405,5,17974,,
Marquette, WI,3325,5.4,6571,,
Menominee, WI,935,4.9,1318,,
Milwaukee, WI,34462,5.1,383591,,
Monroe, WI,1828,5.7,17376,,
Oconto, WI,8122,5.3,15415,,
Oneida, WI,14122,5.1,16003,,
Outagamie, WI,3501,5.7,69648,,
Ozaukee, WI,2039,6.2,34228,,
Pepin, WI,528,6,3051,,
Pierce, WI,1130,6.2,15002,,
Polk, WI,6244,5.4,18004,,
Portage, WI,2240,5.7,27814,,
Price, WI,4791,5.1,6329,,
Racine, WI,6513,5.5,75651,,
Richland, WI,1519,5.6,7349,,
Rock, WI,5517,5.7,62905,,
Rusk, WI,2651,5.3,6232,,
St. Croix, WI,2184,6.2,31799,,
Sauk, WI,4516,5.8,25192,,
Sawyer, WI,8937,4.8,7038,,
Shawano, WI,3701,5.6,17019,,
Sheboygan, WI,4376,5.7,46390,,
Taylor, WI,2194,5.6,8388,,
Trempealeau, WI,1095,5.8,11524,,
Vernon, WI,2104,5.7,11616,,
Vilas, WI,15458,4.9,9658,,
Walworth, WI,11832,5.6,39699,,
Washburn, WI,6063,5,6916,,
Washington, WI,3090,5.9,51605,,
Waukesha, WI,8201,6.1,152663,,
Waupaca, WI,4009,5.7,21387,,
Waushara, WI,4894,5.2,9949,,
Winnebago, WI,5454,5.4,67875,,
Wood, WI,2490,5.6,31598,,
WYOMING,,34989,5.5,226879,,
Albany, WY,2248,4.8,15691,,
Big Horn, WY,818,5.7,4561,,
Campbell, WY,1783,5.7,17172,,
Carbon, WY,2188,5.3,6388,,
Converse, WY,730,5.7,5673,,
Crook, WY,674,5.5,2921,,
Fremont, WY,2341,5.3,15455,,
Goshen, WY,661,5.8,5311,,
Hot Springs, WY,397,5.4,2185,,
Johnson, WY,771,5.3,3782,,
Laramie, WY,2886,5.8,37576,,
Lincoln, WY,2085,5.6,6861,,
Natrona, WY,3191,5.7,30616,,
Niobrara, WY,269,5.9,1069,,
Park, WY,1677,5.5,11885,,
Platte, WY,829,5.3,3838,,
Sheridan, WY,1579,5.4,12360,,
Sublette, WY,1864,4.9,3906,,
Sweetwater, WY,2260,5.5,16475,,
Teton, WY,3840,4.8,8973,,
Uinta, WY,1045,5.7,7668,,
Washakie, WY,341,5.9,3492,,
Weston, WY,512,5.5,3021,,
