Area_name,,"School enrollment - persons 3 years and over enrolled in college, undergraduate years: 2005-2009",School enrollment - persons 3 years and over enrolled in graduate or professional school: 2005-2009
Brooke, WV," 1,233 ", 144 
Cabell, WV," 9,227 "," 1,469 "
Calhoun, WV, 148 , 28 
Clay, WV, 163 , 56 
Doddridge, WV, 243 , 18 
Fayette, WV," 2,153 ", 160 
Gilmer, WV, 878 , 38 
Grant, WV, 310 , 68 
Greenbrier, WV," 1,130 ", 554 
Hampshire, WV, 612 , 144 
Hancock, WV," 1,033 ", 157 
Hardy, WV, 350 , 23 
Harrison, WV," 2,304 ", 495 
Jackson, WV," 1,106 ", 281 
Jefferson, WV," 3,737 ", 763 
Kanawha, WV," 7,834 "," 1,891 "
Lewis, WV, 600 , 63 
Lincoln, WV, 537 , 81 
Logan, WV, 679 , 181 
McDowell, WV, 365 , 141 
Marion, WV," 4,454 ", 472 
Marshall, WV," 1,367 ", 169 
Mason, WV, 768 , 212 
Mercer, WV," 2,714 ", 723 
Mineral, WV," 1,186 ", 269 
Mingo, WV, 561 , 66 
Monongalia, WV," 18,822 "," 3,794 "
Monroe, WV, 322 , 63 
Morgan, WV, 425 , 78 
Nicholas, WV, 850 , 81 
Ohio, WV," 2,820 ", 513 
Pendleton, WV, 131 , 30 
Pleasants, WV, 391 , 17 
Pocahontas, WV, 132 , 28 
Preston, WV, 655 , 198 
Putnam, WV," 2,005 ", 464 
Raleigh, WV," 3,721 ", 418 
Randolph, WV," 1,002 ", 309 
Ritchie, WV, 288 , 19 
Roane, WV, 324 , 21 
Summers, WV, 585 , 64 
Taylor, WV, 540 , 29 
Tucker, WV, 186 , 16 
Tyler, WV, 183 , 20 
Upshur, WV," 2,009 ", 120 
Wayne, WV," 1,667 ", 227 
Webster, WV, 47 , 9 
Wetzel, WV, 418 , 142 
Wirt, WV, 204 , 60 
Wood, WV," 3,238 ", 724 
Wyoming, WV, 691 , 65 
WISCONSIN,," 343,390 "," 62,891 "
Adams, WI, 501 , 77 
Ashland, WI," 1,045 ", 135 
Barron, WI," 1,567 ", 251 
Bayfield, WI, 338 , 83 
Brown, WI," 15,006 "," 2,226 "
Buffalo, WI, 359 , 73 
Burnett, WI, 347 , 90 
Calumet, WI," 1,306 ", 316 
Chippewa, WI," 2,220 ", 442 
Clark, WI, 736 , 120 
Columbia, WI," 1,777 ", 472 
Crawford, WI, 707 , 126 
Dane, WI," 53,998 "," 14,319 "
Dodge, WI," 3,098 ", 473 
Door, WI, 621 , 229 
Douglas, WI," 3,057 ", 368 
Dunn, WI," 7,471 ", 447 
Eau Claire, WI," 13,258 ", 866 
Florence, WI, 149 , 59 
Fond du Lac, WI," 5,596 ", 714 
Forest, WI, 317 , 75 
Grant, WI," 6,263 ", 261 
Green, WI," 1,153 ", 226 
Green Lake, WI, 500 , 86 
Iowa, WI, 548 , 130 
Iron, WI, 151 , 15 
Jackson, WI, 447 , 116 
Jefferson, WI," 5,790 ", 682 
Juneau, WI, 833 , 79 
Kenosha, WI," 10,467 "," 1,836 "
Kewaunee, WI, 825 , 90 
La Crosse, WI," 13,355 "," 1,097 "
Lafayette, WI, 471 , 108 
Langlade, WI, 600 , 117 
Lincoln, WI, 802 , 84 
Manitowoc, WI," 3,233 ", 526 
Marathon, WI," 5,514 "," 1,112 "
Marinette, WI," 1,680 ", 565 
Marquette, WI, 303 , 39 
Menominee, WI, 162 , 18 
Milwaukee, WI," 59,698 "," 14,093 "
Monroe, WI," 1,192 ", 244 
Oconto, WI," 1,057 ", 258 
Oneida, WI," 1,036 ", 203 
Outagamie, WI," 9,194 "," 1,459 "
Ozaukee, WI," 4,366 "," 1,165 "
Pepin, WI, 252 , 50 
Pierce, WI," 6,038 ", 362 
Polk, WI," 1,530 ", 362 
Portage, WI," 10,518 ", 620 
Price, WI, 437 , 43 
Racine, WI," 9,856 "," 1,494 "
Richland, WI, 551 , 93 
Rock, WI," 7,226 "," 1,248 "
Rusk, WI, 227 , 71 
St. Croix, WI," 3,233 ", 865 
Sauk, WI," 1,648 ", 401 
Sawyer, WI, 350 , 75 
Shawano, WI," 1,471 ", 222 
Sheboygan, WI," 5,068 ", 851 
Taylor, WI, 497 , 130 
Trempealeau, WI, 730 , 214 
Vernon, WI, 641 , 267 
Vilas, WI, 470 , 135 
Walworth, WI," 8,379 ", 969 
Washburn, WI, 291 , 108 
Washington, WI," 5,134 "," 1,059 "
Waukesha, WI," 18,173 "," 4,359 "
Waupaca, WI," 1,659 ", 253 
Waushara, WI, 663 , 106 
Winnebago, WI," 12,439 "," 1,526 "
Wood, WI," 2,795 ", 438 
WYOMING,," 31,268 "," 5,241 "
Albany, WY," 9,971 "," 1,244 "
Big Horn, WY, 292 , 67 
Campbell, WY," 1,186 ", 285 
Carbon, WY, 369 , 93 
Converse, WY, 381 , 47 
Crook, WY, 102 , 35 
Fremont, WY," 1,444 ", 327 
Goshen, WY," 1,004 ", 64 
Hot Springs, WY, 20 , -   
Johnson, WY, 251 , 70 
Laramie, WY," 5,401 ", 976 
Lincoln, WY, 358 , 139 
Natrona, WY," 4,033 ", 708 
Niobrara, WY, 50 , -   
Park, WY," 1,778 ", 186 
Platte, WY, 274 , 48 
Sheridan, WY," 1,096 ", 283 
Sublette, WY, 211 , 59 
Sweetwater, WY," 1,939 ", 369 
Teton, WY, 257 , 75 
Uinta, WY, 529 , 92 
Washakie, WY, 139 , 37 
Weston, WY, 183 , 37 
